entidad,tipo_entidad
Ariel Fernández,ser humano
Paula Ormaechea,ser humano
Mercedes Paz,ser humano
Elisa Carrió,ser humano
José Evaristo de Uriburu,ser humano
Arturo Umberto Illia,ser humano
Carlos Pellegrini,ser humano
Ed Nelson,ser humano
Noemí Simonetto,ser humano
Raimundo Orsi,ser humano
Paz Lenchantin,ser humano
Enrique Cadícamo,ser humano
Marcelo Gallardo,ser humano
Violet Jessop,ser humano
Graciela Fernández Meijide,ser humano
John Llewellyn Moxey,ser humano
Ceferino Denis,ser humano
Fabián Assmann,ser humano
Paolo Quinteros,ser humano
Bruno Sanfilippo,ser humano
Bahía Blanca,ciudad
biofísico,físico
Argentina,país
Universidad Nacional del Sur,universidad pública
Universidad de Chicago,universidad
Sunchales,ciudad
tenista,deportista
San Miguel de Tucumán,ciudad
Resistencia,ciudad
abogado,profesión
Universidad Nacional del Nordeste,universidad
diputado de Argentina,cargo
Salta,ciudad
Universidad de Buenos Aires,universidad
vicepresidente de la Nación Argentina,cargo público
Pergamino,ciudad
médico,profesión
presidente de la Nación Argentina,presidente
Buenos Aires,ciudad
España,país
Brockton,ciudad
baloncestista,deportista
Estados Unidos,asentamiento
Universidad de Connecticut,universidad
velocista,disciplina deportiva
Avellaneda,ciudad
entrenador,profesión
Italia,país
Mar del Plata,ciudad
cantante,músico
Pixies,grupo musical
General Rodríguez,municipio
escritor,profesión
Merlo,municipio
futbolista,jugador
camarero,profesión
Reino Unido,país
político,profesión
Instituto de Enseñanza Superior en Lenguas Vivas Juan Ramón Fernández,escuela
Comisión Nacional sobre la Desaparición de Personas,comisión
realizador de televisión,profesión
Ituzaingó,ciudad
Zárate,ciudad
Colón,ciudad
compositor,ocupación
pianista,profesión
Quino,ser humano
Bartolomé Mitre,ser humano
Ariel Ibagaza,ser humano
Gustavo Eberlein,ser humano
Héctor Sesi Cúper,ser humano
Kily González,ser humano
Leandro Cufré,ser humano
José González,ser humano
Horacio Elizondo,ser humano
Franco Di Santo,ser humano
Luis Monti,ser humano
Santiago Solari,ser humano
Manuel Belgrano,ser humano
José Néstor Pékerman,ser humano
Sergio Goycochea,ser humano
Cristian Daniel Ledesma,ser humano
Diego Buonanotte,ser humano
Pablo Cavallero,ser humano
Mariano Pernía,ser humano
Fernando Cavenaghi,ser humano
Fuengirola,municipio de España
dibujante,profesión
Mafalda,comuna de Italia
