entidad,tipo_entidad
John Leguizamo,ser humano
Carlos Lehder,ser humano
Johan Vonlanthen,ser humano
Hernán Darío Gómez,ser humano
Mario Alberto Yepes Díaz,ser humano
Elda Neyis Mosquera,ser humano
Ernesto McCausland,ser humano
Jaider Romero,ser humano
Juan Guillermo Domínguez,ser humano
Edixon Perea,ser humano
Taliana Vargas,ser humano
Stefanía Fernández,ser humano
Piedad Bonnett Vélez,ser humano
Cristina Umaña,ser humano
Óscar Córdoba,ser humano
Óscar Muñoz Oviedo,ser humano
Óscar Ruiz,ser humano
Óscar Sevilla,ser humano
Oscar Urbina Ortega,ser humano
Oscar Álvarez,ser humano
Bogotá,ciudad
guionista,profesión
Estados Unidos,país
Encanto,álbum
Armenia,país
criminal,clase social
Alemania,página de desambiguación de Wikimedia
Cartel de Medellín,cartel
Santa Marta,ciudad
futbolista,deportista
Suiza,página de desambiguación de Wikimedia
Colombia,país
Medellín,ciudad
entrenador,profesión
Cali,ciudad
Barranquilla,ciudad
escritor,profesión
Premio Nacional de Periodismo Simón Bolívar,premio
Valledupar,ciudad
actor,profesión
modelo,propiedad
Mérida,municipio
periodista,profesión
Venezuela,país
Miss Universo 2009,edición de concurso de belleza
Amalfi,comuna
Universidad de los Andes,página de desambiguación de Wikimedia
libro,documento
Ibagué,ciudad
taekwondista,deportista
Villavicencio,ciudad
abogado,profesión
Universidad Autónoma de Colombia,universidad
Departamento del Meta,departamento
Albacete,municipio
ciclista,deportista
España,página de desambiguación de Wikimedia
Arboledas,municipio
sacerdote católico,presbítero
Seminario Mayor de Bogotá,institución académica
obispo auxiliar,cargo eclesiástico
Antioquia,departamento
Felipe González,ser humano
Íngrid Betancourt,ser humano
John Parra,ser humano
Alfredo Di Stéfano,ser humano
Leiton Jiménez,ser humano
Lupe Fuentes,ser humano
Edgar Rentería,ser humano
Ricardo Londoño,ser humano
Juan Pablo Montoya,ser humano
Julián Rodas,ser humano
José de Jesús Pimiento Rodriguez,ser humano
Sara Tunes,ser humano
Luis Gabriel Romero Franco,ser humano
Álvaro Uribe Vélez,ser humano
Pablo Escobar,ser humano
Carlos Valderrama,ser humano
Jhon Córdoba,ser humano
Andrés Escobar,ser humano
Elkin Soto,ser humano
Gustavo Gómez Córdoba,ser humano
Sevilla,municipio
Universidad de Lovaina,universidad
Fundación Alternativas,organización
político,profesión
Francia,estado
Instituto de Estudios Políticos de París,universidad
miembro de la Cámara de Representantes de Colombia,cargo
Buenos Aires,asentamiento
Gran Cruz de la Real Orden del Mérito Deportivo,grado de una orden
Chocó,departamento
Santa Cruz de Tenerife,municipio
Fans of Adult Media and Entertainment Awards,pornographic film award
beisbolista,deportista
Guante de Oro,premio
ingeniero,profesión
piloto de automovilismo,profesión
Pereira,ciudad
Zapatoca,municipio
cardenal,clérigo católico
compositor,músico
cantante,músico
Universidad Harvard,universidad
Universidad de Georgetown,universidad
Rionegro,página de desambiguación de Wikimedia
director,Wikidata property to identify contributors to audiovisual works
Istmina,municipio
Manizales,ciudad
Pontificia Universidad Javeriana,universidad
Caracol Radio,emisora de radio
Sofía Vergara,ser humano
Freddy Rincón,ser humano
Zulay Henao,ser humano
Catalina Sandino,ser humano
Iván Ramiro Córdoba,ser humano
Danna García,ser humano
Mariana Duque Mariño,ser humano
Fabiola Zuluaga,ser humano
René Higuita,ser humano
Manuel Acisclo Córdoba,ser humano
Hugo Rodallega,ser humano
Arley Dinas,ser humano
Silvestre Dangond,ser humano
Pedro Rubiano Sáenz,ser humano
Harold Reina,ser humano
Álex Aguinaga,ser humano
Álvaro José Domínguez,ser humano
Álvaro Escobar-Molina,ser humano
Álvaro Gómez,ser humano
Álvaro Mejía,ser humano
productor de cine,profesión
American Broadcasting Company,cadena de televisión
Buenaventura,página de desambiguación de Wikimedia
actor de televisión,actor
Anexo:Oso de Plata a la mejor interpretación femenina,premio
músico,profesión
actor de teatro,ocupación
tenista,deportista
Cúcuta,ciudad
Candelaria,municipio
Caloto,municipio
Urumita,municipio
Premio Grammy Latino por mejor álbum de cumbia/vallenato,premio
Cartago,ciudad
Yumbo,municipio
Ibarra,página de desambiguación de Wikimedia
Ecuador,país
El Cerrito,página de desambiguación de Wikimedia
nadador,deportista
Santa Rosa de Cabal,municipio
médico,profesión
Gabriel García Márquez,ser humano
Fernando Botero,ser humano
Soraya,nombre femenino
Jeison Murillo,ser humano
Clara Rojas,ser humano
Carmen Villalobos,ser humano
Anabel Torres,ser humano
Omaira Sánchez,ser humano
Andrés Mosquera,ser humano
Laura Restrepo,ser humano
Ximena Restrepo,ser humano
Jery Sandoval,ser humano
Caterine Ibargüen,ser humano
Enrique Santos Montejo,ser humano
Álvaro Mutis,ser humano
Álvaro Pachón,ser humano
Álvaro Sierra,ser humano
Ángela Becerra,ser humano
Élder Herrera,ser humano
Consuelo González de Perdomo,ser humano
Aracataca,municipio
Universidad Nacional de Colombia,universidad
El amor en los tiempos del cólera,obra literaria
pintor,profesión
El Gato de Raval,escultura
Point Pleasant,página de desambiguación de Wikimedia
Premio Grammy latino por mejor álbum cantautor,categoría de un premio
Universidad del Rosario,universidad
Universidad de Antioquia,universidad
Armero,municipio
estudiante,estudiante
Delirio,entidad
velocista,disciplina deportiva
Chile,país
Apartadó,municipio
atleta,deportista
El Tiempo,página de desambiguación de Wikimedia
embajador de Colombia en Chile,cargo
La nieve del almirante,obra literaria
Premio Miguel de Cervantes,premio
Sogamoso,municipio
Premio Azorín,premio
Pitalito,municipio
Juan Manuel Santos,ser humano
Shakira,ser humano
Juanes,ser humano
Hilario Cuenú,ser humano
Carlos Rodas,ser humano
Catherine Siachoque,ser humano
Felipa Palacios,ser humano
Diego Gómez,ser humano
Néstor Salazar,ser humano
Alberto Lleras Camargo,ser humano
Rubén Salazar Gómez,ser humano
Fulgencio Berdugo,ser humano
Rosibel García Mena,ser humano
Edmar Castañeda,ser humano
Jacquin Strouss Lucena,ser humano
Jaime Bermúdez Merizalde,ser humano
Bruce Graham,ser humano
Diego Salazar Quintero,ser humano
John Jairo Culma,ser humano
Universidad Estatal de Kansas,universidad
The Elders,organización
Universal Music Group,companía discográfica
Carolina del Príncipe,municipio
guitarrista,profesión musical
Universidad Pontificia Bolivariana,universidad
premio Grammy al mejor álbum de pop latino,premio
Tuluá,municipio
Bojayá,municipio
Palmira,ciudad
Academia Estadounidense de las Artes y las Ciencias,sociedad erudita
obispo católico,cargo eclesiástico
Pontificia Universidad Gregoriana,universidad
cardenal presbítero,cargo
Jamundí,municipio
Universidad de Columbia,universidad
Canciller de Colombia,ministro
La Cumbre,página de desambiguación de Wikimedia
arquitecto,profesión
Universidad Case de la Reserva Occidental,universidad
halterófilo,deportista
Helena Araújo,ser humano
Rodrigo Lara Bonilla,ser humano
Carlos Alberto Sánchez,ser humano
Daniel Jositsch,ser humano
Roberto Guerrero,ser humano
Alejandra Azcárate,ser humano
Jorge Aurelio Noguera Cotes,ser humano
Jorge Eliécer Gaitán,ser humano
Radamel Falcao García,ser humano
César Ham,ser humano
Carlos Valdés,ser humano
Carlos Bacca,ser humano
Cristhian Bonilla,ser humano
Gerardo Reichel-Dolmatoff,ser humano
Ever Palacios,ser humano
Hamilton Ricard,ser humano
Danilson Córdoba,ser humano
Hernán Gaviria,ser humano
Edwin García,ser humano
Leopoldo Rother,ser humano
Neiva,página de desambiguación de Wikimedia
Universidad Externado de Colombia,universidad
senador de Colombia,cargo
Zúrich,ciudad
Universidad de San Galo,universidad
Universidad de Zúrich,universidad
piloto de Fórmula Uno,profesión
comediante,profesión
alcalde de Bogotá,cargo público
diputado del Congreso Nacional de Honduras,parlamentario
Honduras,país
Supía,municipio
Salzburgo,ciudad
antropólogo,profesión
Austria,país
Sorbonne Universidad de París,universidad
Academia Nacional de Ciencias de los Estados Unidos,institución académica
Carepa,municipio
Breslavia,ciudad
Eduardo Santos,ser humano
Jacobo Arenas,ser humano
Amparo Ángel,ser humano
Manuel María Paz,ser humano
Abraham Gonzalez,ser humano
Francisco de Paula Santander,ser humano
Karina Arroyave,ser humano
Santiago Botero,ser humano
Gustavo Rojas Pinilla,ser humano
Camilo Zúñiga,ser humano
Piedad Córdoba,ser humano
Juan Pablo Suárez,ser humano
Carlos Huertas,ser humano
Pedro Alonso López,ser humano
Augusto Barrera,ser humano
Catalina Denis,ser humano
Angelino Garzón,ser humano
Gustavo Yacamán,ser humano
Laureano Gómez,ser humano
Mimi Morales,ser humano
Academia Colombiana de Historia,sociedad erudita
Bucaramanga,ciudad
Fuerzas Armadas Revolucionarias de Colombia,movimiento guerrillero
Popayán,ciudad
pianista,profesión
Almaguer,municipio
geógrafo,profesión
árbitro de fútbol,profesión
Villa del Rosario,página de desambiguación de Wikimedia
militar,profesión
Colegio Mayor de San Bartolomé,colegio mayor
Presidente de Colombia,presidente
actor de cine,profesión
Universidad EAFIT,universidad
Tunja,ciudad
Trine University,universidad
Chigorodó,municipio
ciclista de pista,profesión
Venadillo,municipio
asesino en serie,asesino
Universidad Central del Ecuador,universidad
Alcalde Metropolitano de Quito,cargo
Buga,página de desambiguación de Wikimedia
Universidad Jorge Tadeo Lozano,universidad
Vicepresidente de Colombia,cargo
Colegio Bolívar,escuela
Cartagena de Indias,ciudad
Wilson Zambrano,ser humano
Jorge García Isaza,ser humano
Rosa Amelia Plumelle-Uribe,ser humano
Carlos Mario Hoyos,ser humano
Javier Calle,ser humano
Jeffry Romero,ser humano
Juan Agudelo,ser humano
Jesús Díaz,ser humano
Juan Diego González,ser humano
Hector Echeverri,ser humano
Rafael Montiel,ser humano
Reinaldo Llanta,ser humano
Armando Carrillo,ser humano
Aníbal Muñoz Duque,ser humano
Sergio Fajardo,ser humano
Phil Jackson Ibargüen,ser humano
Gabriel Betancourt Mejía,ser humano
José María Vargas Vila,ser humano
Julián Atehortúa,ser humano
Jaime de la Pava,ser humano
Socorro,municipio
obispo titular,cargo eclesiástico
Montelíbano,municipio
escritor de no ficción,profesión
El Bagre,municipio
Universidad del Valle,universidad
Santa Rosa de Osos,municipio
Gobernador de Antioquia,cargo público
Acandí,ciudad
Universidad de Siracusa,institución educativa
Academia Nacional de Educación,sociedad erudita
Anexo:Bibliografía de José María Vargas Vila,bibliografía
Salgar,municipio
Adrián Ramos,ser humano
Ricardo Antonio Tobón Restrepo,ser humano
Pablo Armero,ser humano
Julio César Turbay,ser humano
Andrew Loog Oldham,ser humano
Alejandro Falla,ser humano
Santiago Giraldo,ser humano
Faustino Asprilla,ser humano
José Barros,ser humano
Guillermo Abadía Morales,ser humano
Rigoberto Urán,ser humano
Aldo Bobadilla,ser humano
Christian Benítez,ser humano
Lucho Bermúdez,ser humano
Adolfo Mejía,ser humano
Adolfo Valencia,ser humano
Ernesto Samper,ser humano
James Rodríguez,ser humano
Nelson Rivas,ser humano
Teófilo Gutiérrez,ser humano
Santander de Quilichao,municipio
Ituango,municipio
obispo diocesano,cargo eclesiástico
Tumaco,municipio
Universidad del Cauca,universidad
Londres,página de desambiguación de Wikimedia
Reino Unido,país
The Rolling Stones,grupo musical
El Banco,municipio
profesor universitario,profesión académica
"Universidad Nacional de Colombia, Sede Bogotá",universidad
Urrao,municipio
Pedro Juan Caballero,ciudad
Paraguay,país
El Carmen de Bolívar,municipio
Sucre,ciudad
Premio Puskás,categoría de un premio
Pradera,página de desambiguación de Wikimedia
Futbolista del año en Sudamérica,distinción
Kilian Virviescas,ser humano
Manuel Mejía Vallejo,ser humano
Andrés Orozco-Estrada,ser humano
Pedro Zape,ser humano
Guillermo Velásquez Ramírez,ser humano
Ernesto Frieri,ser humano
Martín von Hildebrand,ser humano
José Querubín Moreno,ser humano
Mauricio Ardila,ser humano
Elkin Murillo,ser humano
Óscar Tulio Lizcano,ser humano
María Ángela Holguín,ser humano
Juan Pablo Villegas,ser humano
Marco Yonier Pérez Murillo,ser humano
Emma Claudia Castellanos,ser humano
Cayetano Sarmiento,ser humano
Ángel Oswaldo Fernández,ser humano
Camilo Daza,ser humano
Manolo Cardona,ser humano
Francisco Zuluaga,ser humano
Jericó,ciudad
Premio Nadal,premio
director de orquesta,profesión
Universidad de Música y Arte Dramático de Viena,universidad
Prendedor de Honor por Servir a La Provincia de Austria Baja,orden
Arjona,página de desambiguación de Wikimedia
Nueva York,página de desambiguación de Wikimedia
Ventachurrusca,municipio
Yarumal,municipio
diplomático,profesión
Universidad de París X Nanterre,universidad
Pácora,municipio
Universidad La Gran Colombia,universidad
Arcabuco,municipio
Machala,ciudad
Pamplona,municipio
piloto de aviación,profesión
realizador,profesión
Oswaldo Guayasamín,ser humano
Enrique Grau,ser humano
Mariano Ospina Pérez,ser humano
Mesías Maiguashca,ser humano
Zacarías Reyán,ser humano
Juan Urango,ser humano
Bernardo Redín,ser humano
Edgar Negret,ser humano
Hernán Alvarado Solano,ser humano
Duván Zapatillas,ser humano
