entidad,tipo_entidad
Manuel María de Peralta y Alfaro,ser humano
Anthony Velásquez,ser humano
Rudy Dawson,ser humano
Turichiquí,ser humano
Antonio Álvarez Desanti,ser humano
Argenis Fernández,ser humano
Tatiana Echeverri Fernández,ser humano
Walter Ferguson,ser humano
Lorena Clare Facio,ser humano
Manuel Mora Fernández,ser humano
Rogelio Sotela,ser humano
Dora Emilia Mora de Retana,ser humano
Enrique Guier Sáenz,ser humano
Rodrigo Madrigal Nieto,ser humano
Carlos Cortés,ser humano
Carlos Luis Fallas,ser humano
Carmen Lyra,ser humano
Denis Hamlett,ser humano
Esteban Ramírez,ser humano
Fabián Dobles,ser humano
Cartago,ciudad
político,profesión
Costa Rica,país
Instituto de Derecho Internacional,sociedad erudita
Enviado Extraordinario y Ministro Plenipotenciario de El Salvador en los Estados Unidos de América,ministro plenipotenciario
Cantón de San José,cantón de Costa Rica
futbolista,deportista
Limón,ciudad
Fernando Correque,ser humano
Ujarrás,asentamiento
San José,ciudad
abogado,profesión
Escuela de Derecho Harvard,facultad de derecho
Corredor,página de desambiguación de Wikimedia
entrenador,profesión
pintor,profesión
escultor,profesión artística
músico,profesión
calypsonian,músico
primera dama o primer caballero de Costa Rica,cargo
Orden de Isabel la Católica,orden
juez,propiedad de Wikidata relacionada con el derecho y la justicia
escritor,profesión
Provincia de Guanacaste,provincia
botánico,biólogo
Universidad de Costa Rica,universidad
Gran Cruz de la Orden de Isabel la Católica,grado de una orden
La Nación,página de desambiguación de Wikimedia
Alajuela,ciudad
Sorbonne Universidad de París,universidad
La Galería de las Mujeres de Costa Rica,salón de la fama
Universidad George Mason,universidad
guionista,profesión
productor de televisión,profesional de medios
San Antonio,ciudad
Margarita Penón Góngora,ser humano
Román Arrieta Villalobos,ser humano
Bernie Wright McClean,ser humano
Jorge Rossi Chavarría,ser humano
Abel Guier,ser humano
Agapito Jiménez Zamora,ser humano
Alberto Cañas Escalante,ser humano
Alberto Salom Echeverría,ser humano
Alejandro Alvarado García,ser humano
Alejandro Jenkins,ser humano
Alejandro Sequeira,ser humano
Alex Brenes,ser humano
Alex Sánchez Cruz,ser humano
Alexander Madrigal,ser humano
Alfio Piva Mesén,ser humano
Alfonso Chase,ser humano
Alfredo Piedra Mora,ser humano
Allan Oviedo,ser humano
Allan Segura,ser humano
Alonso Fernández Alvarez,ser humano
Vassar College,universidad
arzobispo,cargo eclesiástico
obispo diocesano,cargo eclesiástico
Provincia de Cartago,provincia
guitarrista bajo,profesión musical
León,municipio
Universidad de San Carlos de Guatemala,universidad
físico,profesión
Universidad Harvard,universidad
Instituto Tecnológico de Massachusetts,universidad
jugador de póquer,profesión
Naranjo,página de desambiguación de Wikimedia
México,país
Cantón de Goicoechea,cantón de Costa Rica
Real Academia Nacional de Farmacia,institución académica
crítico literario,profesión
Curridabat,distrito
atleta,deportista
modelo,propiedad
participante en concursos de belleza,concurseante
Amalia Matamoros,ser humano
Andes Meza,ser humano
Andrey Aguilar,ser humano
Andrey Campos,ser humano
Andrés Venegas,ser humano
Antonio del Carmen Monestel Zamora,ser humano
Apolinar de Jesús Soto Quesada,ser humano
Aquileo Echeverría,ser humano
Ariel Santana,ser humano
Asdrúbal Paniagua,ser humano
Bali Rodríguez,ser humano
Bartosz Brenes,ser humano
Beltrán Cortés Carvajal,ser humano
Benito Serrano Jiménez,ser humano
Benjamín Mayorga,ser humano
Carmen Naranjo,ser humano
Bernard Mullins Campbell,ser humano
Bernardo Rodríguez y Alfaro,ser humano
Bernardo de la Guardia,ser humano
Berny Peña,ser humano
Cantón de Grecia,cantón de Costa Rica
poeta,escritor
nadador,deportista
Puntarenas,ciudad
sacerdote católico,presbítero
obispo titular,cargo eclesiástico
Heredia,ciudad
Cantón de San Rafael,cantón de Costa Rica
actor de cine,profesión
discjockey,músico
compositor de canciones,profesión musical
Cantón de Santa Bárbara,cantón de Costa Rica
agricultor,trabajador
Universidad de Iowa,universidad
Premio Editorial Costa Rica,premio
esgrimista,deportista
Puerto Carrillo,distrito
Steven Bryce,ser humano
Daniel Vallejos,ser humano
Rodrigo Cordero,ser humano
José Luis López Ramírez,ser humano
Freddy Fernández,ser humano
Roy Myrie,ser humano
Max Stern,ser humano
Gonzalo Segares,ser humano
Robert Louis Dressler,ser humano
