entidad,tipo_entidad
Vida Guerra,ser humano
Anselmo Sacasas,ser humano
Gina Pellón,ser humano
Roberto G. Fernández,ser humano
Hilda Gadea,ser humano
Anaysi Hernández,ser humano
Yoanka González,ser humano
Magdelín Martínez,ser humano
Eglis Yaima Cruz,ser humano
Ariadna Sintes,ser humano
Martha Beatriz Roque,ser humano
Ñico Saquito,ser humano
Guillermo Cabrera Infante,ser humano
Juan Almeida Bosque,ser humano
Félix Savón,ser humano
Reinaldo Arenas Fuentes,ser humano
Iván Pedroso,ser humano
Compay Segundo,ser humano
Ibrahim Ferrer,ser humano
Dave Lombardo,ser humano
La Habana,página de desambiguación de Wikimedia
actor,profesión
Cuba,Cuba
cantante,cantante
compositor,compositor
director de orquesta,director de orquest
Cumanayagua,municipio de Cuba
escritor,escritor
Francia,Francia
Sagua la Grande,Sagua la Grande
novelista,novelista
Estados Unidos,asentamiento
Universidad Estatal de Florida,universidad
Lima,ciudad
Universidad Nacional Mayor de San Marcos,universidad
Cienfuegos,Cienfuegos
yudoca,yudoca
Santa Clara,isla
ciclista de pista,deportista
Camagüey,Camagüey
atleta,atleta
Italia,Italia
Sancti Spíritus,página de desambiguación de Wikimedia
tirador,cinturón
España,página de desambiguación de Wikimedia
economista,profesión
Santiago de Cuba,ciudad
Gibara,Gibara
guionista,guionista
Tres tristes tigres,obra literaria
Premio Miguel de Cervantes,premio literario
militar,militar
Universidad de La Habana,universidad
diputado de la Asamblea Nacional del Poder Popular de Cuba,diputado de
provincia de Guantánamo,provincia de Cuba
boxeador,boxeador
Orden Olímpica de Plata,grado de una orden
Aguas Claras,página de desambiguación de Wikimedia
Antes que anochezca,película
Beca Guggenheim,premio académico
entrenador,entrenador
"Malabana, (película de 2001)",película
Dúo Los Compadres,dúo musical
San Luis,San Luis
Buena Vista Social Club,página de desambiguación de Wikimedia
premio Grammy al mejor álbum latino tropical,categoría de un premio
baterista,baterista
Slayer,banda de heavy metal
Federico Laredo Brú,ser humano
Abel Prieto,ser humano
Abel Santamaría,ser humano
Abelardo Colomé Ibarra,ser humano
Orlando Bosch Ávila,ser humano
Tomás Estrada Palma,ser humano
Harold Gramatges,ser humano
Adalberto Álvarez,ser humano
Cándido Fabré,ser humano
Miguel Calderón Gómez,ser humano
Rafael Cañizares,ser humano
Alejandro Ortiz Herrera,ser humano
Pablo García,ser humano
José Miguel Álvarez,ser humano
Óscar Varona,ser humano
Tomás Herrera Martínez,ser humano
Franklin Standard,ser humano
Conrado Pérez,ser humano
Ruperto Herrera Tabio,ser humano
Juan Domecq,ser humano
San Juan de los Remedios,asentamiento
abogado,profesión
Presidente de Cuba,jefe de Estado
Pinar del Río,Pinar del R
Unión de Escritores y Artistas de Cuba,asociación cultural
Encrucijada,página de desambiguación de Wikimedia
Héroe de la República de Cuba,título honorífico
Provincia de Villa Clara,provincia de Cuba
terrorista,delincuente
Agencia Central de Inteligencia,Agencia Central de
Bayamo,Bayamo
Premio Tomás Luis de Victoria,premio de música
baloncestista,deportista
Las Villas,página de desambiguación de Wikimedia
Salón de la Fama FIBA,distinción
Celia Cruz,ser humano
Serafina Núñez,ser humano
Armando Valladares,ser humano
Mario Cimarro,ser humano
Aramís Álvarez Pedraza,ser humano
Desi Arnaz,ser humano
Mongo Santamaría,ser humano
Wifredo Lam,ser humano
Daniel Núñez,ser humano
Vilma Espin Guillois,ser humano
Tomás Regalado,ser humano
Chelo Alonso,ser humano
Pedro Juan Gutiérrez,ser humano
José Carlos Somoza,ser humano
Amir Valle,ser humano
Ana Mendieta,ser humano
Tania León,ser humano
Xiomara Alfaro,ser humano
Regla Torres,ser humano
Machito,ser humano
La Sonora Matancera,grupo musical
Premio Lo Nuestro a la Excelencia,categoría de un premio
Advisory Council,concejo
embajador,rango diplomático
Centro de Educación Artística,institución educativa
ajedrecista,ajedrecista
actor de televisión,actor de televisión
Medalla de Victoria Segunda Guerra Mundial,United States service medals of the world wars
Premio Billboard Salón de la Fama,Premio Billboard Sal
dibujante arquitectónico,dibujante ar
Academia Nacional de Bellas Artes San Alejandro,academia
halterófilo,halterófil
ingeniero,ingeniero
Instituto Tecnológico de Massachusetts,universidad
Premio Lenin de la Paz,distinción
político,político
Secundaria Immaculata-Lasalle,escuela secundaria superior
alcalde de Miami,alcalde de
Matanzas,Matanzas
El Rey de La Habana,película
psiquiatra,profesión
Universidad Complutense de Madrid,universidad pública
La caverna de las ideas,obra escrita
Guantánamo,Guantánamo
Premio Rodolfo Walsh,premio literario
escultor,artista visual
Universidad de Iowa,Universidad de Iowa
Premio de Roma,premio artístico
College de Brooklyn de la Universidad de la Ciudad de Nueva York,institución educativa
cantante de ópera,profesión musical
voleibolista,deportista
jugador de voleibol de playa,ocupación
Nueva York,página de desambiguación de Wikimedia
premio Grammy a la mejor grabación latina,categoría de un premio
Maritza Arribas Robaina,ser humano
Román Hernández Onna,ser humano
Fidel Corrales Jiménez,ser humano
Yuri González Vidal,ser humano
Zirka Frómeta Castillo,ser humano
Joseph Vandor,ser humano
Yan Bartelemí,ser humano
Félix Ismael Rodríguez,ser humano
Danell Leyva,ser humano
Al Cueto,ser humano
Holden Hernández Carmenates,ser humano
Renier González,ser humano
Yudith Águila,ser humano
Odlanier Solís,ser humano
Carlos Prío Socarrás,ser humano
Cristina Saralegui,ser humano
Amador Rodríguez Céspedes,ser humano
Moisés Simons,ser humano
Emilio Correa,ser humano
Armando Hart Dávalos,ser humano
Marianao,municipio de Cuba
Dorog,ciudad en Hungría
sacerdote católico,presbítero
Hungría,álbum
Arroyo Naranjo,municipio de Cuba
espía,espía
Estrella de Plata,distinción
Cárdenas,página de desambiguación de Wikimedia
gimnasta artístico,gimnasta art
Universidad de Tulsa,universidad
provincia de Matanzas,provincia de Cuba
Bahía Honda,página de desambiguación de Wikimedia
Universidad de Miami,universidad
San Germán (Holguín),asentamiento
El manisero,obra de composición musical
ministro de Cultura,ministro de Cult
Orden Nacional José Martí,orden
Agustín Pavó,ser humano
Agustin Roman,ser humano
Joel Isasi,ser humano
José Coppinger,ser humano
Jaime Ortega Alamino,ser humano
Libania Grenot,ser humano
Yunaika Crawford,ser humano
Déborah Andollo,ser humano
Tomás Milian,ser humano
Pablo Lara,ser humano
Julieta Campos,ser humano
Niurka Montalvo,ser humano
Mayra Verónica,ser humano
Mel Martínez,ser humano
Yarianna Martínez,ser humano
Yanet Cruz,ser humano
Beatriz Valdés,ser humano
Antonio Sánchez de Bustamante y Sirvén,ser humano
Carmen Valdés,ser humano
Rudy Sarzo,ser humano
San Antonio de los Baños,ciudad
Barry University,universidad
obispo auxiliar,obispo
gobernador real de La Florida,gobernador real
Real y Militar Orden de San Fernando,orden
