entidad,tipo_entidad
Enrique Ayala Mora,ser humano
Leonidas Proaño,ser humano
Fausto Gaibor García,ser humano
Pedro Reino,ser humano
Ebelio Ordóñez,ser humano
Francisco Ovidio Vera Intriago,ser humano
Máximo Tenorio,ser humano
Dannes Coronel,ser humano
Germán Pavón Puente,ser humano
Enrique Chediak,ser humano
José Luis Perlaza,ser humano
Miguel Febres Cordero,ser humano
Luis Alberto Costales,ser humano
Héctor Chiles,ser humano
Raúl Vallejo,ser humano
Sebastián Cordero,ser humano
Gerardo Guevara,ser humano
Luis Saritama,ser humano
Juan Montalvo,ser humano
Carlos Feraud,ser humano
Ibarra,página de desambiguación de Wikimedia
político,profesión
Ecuador,país
Universidad de Oxford,institución educativa
Cantón Ibarra,cantón de Ecuador
teólogo,profesión
obispo diocesano,cargo eclesiástico
Premio Bruno Kreisky,premio
Bolívar,estado de Venezuela
sacerdote católico,presbítero
obispo auxiliar,obispo
Cantón Cevallos,cantón de Ecuador
escritor,profesión
Concurso Nacional de Literatura Miguel Riofrío,competición
Esmeraldas,ciudad
futbolista,jugador
Brasil,álbum
Naranjal,municipio de México
Pontificia Universidad Gregoriana,universidad
director de fotografía,profesión
director de cine,profesión
Cuenca,municipio de España
educador,profesión
Riobamba,ciudad
poeta,escritor
Carchi,apellido
ciclista,deportista
Manta,comuna de Italia
Universidad Católica de Santiago de Guayaquil,universidad
Fiesta de solitarios,obra literaria
guionista,profesión
Universidad del Sur de California,universidad
"Ratas, ratones, rateros",película
compositor,músico
École Normale de Musique de Paris,conservatorio
Loja,página de desambiguación de Wikimedia
Ambato,ciudad
Abdalá Bucaram,ser humano
Iván Kaviedes,ser humano
Agustín Delgado,ser humano
Carlos Tenorio,ser humano
Segundo Alejandro Castillo,ser humano
Abdón Calderón Garaycoa,ser humano
Yamile Bahamonde,ser humano
Andrés Gómez Santos,ser humano
Lucio Gutiérrez,ser humano
Johanna Ordóñez,ser humano
Carlos Julio Arosemena Tola,ser humano
Leopoldo Benites,ser humano
Nicolás Lapentti,ser humano
Édison Méndez,ser humano
Felipe Caicedo Boom,ser humano
Ulises de la Cruz,ser humano
José María Avilés,página de desambiguación de Wikimedia
Byron Guamá,ser humano
Christian Benítez,ser humano
Iván Hurtado,ser humano
Guayaquil,ciudad
abogado,profesión
Universidad de Guayaquil,universidad
Presidente del Ecuador,cargo público
Curazao,país del Reino de los Países Bajos
Ambuquí,parroquia
diputado Nacional del Ecuador,cargo
Colombia,país
San Lorenzo,ciudad
entrenador,profesión
héroe,arquetipo literario
nadador,deportista
tenista,deportista
Universidad de las Fuerzas Armadas - ESPE,universidad
atleta,deportista
embajador,cargo
España,país
embajador de buena voluntad de Unicef,título honorífico
Cantón Espejo,cantón de Ecuador
Mike Judge,ser humano
Gabriel García Moreno Lourdes,ser humano
Andrés F. Córdova,ser humano
Ramón Castro Jijón,ser humano
Otto Arosemena Gómez,ser humano
Mariano Suárez Veintimilla,ser humano
Manuel María Borrero,ser humano
Federico Páez,ser humano
Antonio Pons,ser humano
José Luis Meza,ser humano
Arturo Rodas,ser humano
Manuela Sáenz,ser humano
Yolanda Kakabadse,ser humano
