entidad,tipo_entidad
Guillermo Rivera,ser humano
Guillermo Manuel Ungo,ser humano
Gustavo Manzur,ser humano
Alberto Rivas Bonilla,ser humano
Wenceslao Cisneros,ser humano
Alejandro Marroquín,ser humano
Alfredo Martínez Moreno,ser humano
Alice Lardé de Venturino,ser humano
Aniceto Porsisoca,ser humano
Ramón A. Valdez,ser humano
David Granadino,ser humano
Antonio Bonilla,ser humano
Armando Arteaga,ser humano
Armando Molina,ser humano
Henry Escobar,ser humano
Henry Hernández,ser humano
Henry Martínez,ser humano
Benjamín Solís Menéndez,ser humano
Bernardino Villalpando,ser humano
Boris Pineda,ser humano
San Salvador,ciudad
entrenador,profesión
El Salvador,país
futbolista,jugador
político,profesión
Universidad de El Salvador,universidad pública
luchador,ocupación
Santa Tecla,página de desambiguación de Wikimedia
escritor,profesión
pintor,profesión
antropólogo,profesión
México,asentamiento
abogado,profesión
Academia Norteamericana de la Lengua Española,sociedad erudita
científico,profesión
Santa Ana,ciudad
actor,profesión
Jayaque,distrito de El Salvador
compositor,músico
Guatemala,país
revolucionario,activista político
Universidad Estatal de San Francisco,universidad
Guazapa,entidad territorial administrativa
boxeador,deportista
Chalchuapa,asentamiento
Talavera de la Reina,municipio de España
obispo católico,obispo
obispo de Cuba,obispo
ajedrecista,deportista
C. Gerardo Perla,ser humano
Carlos Alberto Imery,ser humano
Carlos Alberto Soriano,ser humano
Carlos Artiga,ser humano
Carlos Colón-Quintana,ser humano
Carlos Ernesto García,ser humano
Carlos Hernández,página de desambiguación de nombres humanos
Carmen González Huguet,ser humano
Medardo Gómez,ser humano
Ciro Cruz Zepeda,ser humano
Copán Galel,ser humano
Cuachimichin,ser humano
Juan Felipe Toruño,ser humano
David Galindo,ser humano
Juan Isolino Rosa,ser humano
Dionisio Villacorta,ser humano
Johanna Pineda,ser humano
Domingo Antonio de Lara,ser humano
Elena Gallegos Rosales,ser humano
Eleonora Beatrice Carrillo Alamanni,ser humano
Director de la Escuela Nacional de Artes Gráficas,cargo
Premio Centroamericano de Literatura Rogelio Sinán,premio literario
periodista,profesión
Universidad Baylor,universidad
poeta,escritor
deportista,profesión
España,página de desambiguación de Wikimedia
cacique,cargo
León,municipio de España
San Francisco Gotera,ciudad
Zacatecoluca,ciudad
tirador,cinturón
primera dama,consorte
primera dama o primer caballero de Costa Rica,cargo
modelo,propiedad
Anastasio Aquino,ser humano
Lilian Mercedes Letona,ser humano
Andrés Ignacio Menéndez,ser humano
Andrés del Valle,ser humano
Herbert Anaya,ser humano
Schafik Hándal,ser humano
Roque Dalton,ser humano
Anita Cristina Escher Echeverría,ser humano
Rafael Burgos,ser humano
Víctor Turcios,ser humano
Santiago Cortés,página de desambiguación de nombres humanos
Antonio José Cañas,ser humano
Jon Sobrino,ser humano
José Luis Munguía,ser humano
Steve Purdy,ser humano
Hugo Ernesto Pérez,ser humano
José María Lemus,ser humano
Tomás Pineda,ser humano
Luis Ramírez Zapata,ser humano
Norberto Huezo,ser humano
Santiago Nonualco,distrito de El Salvador
Turín,ciudad
presidente de El Salvador,presidente
Universidad de San Carlos de Guatemala,universidad
activista por los derechos humanos,activista
Usulután,página de desambiguación de Wikimedia
Universidad de Chile,estación
Nueva Orleans,ciudad
diplomático,profesión
Universidad de Zúrich,universidad
Departamento de La Paz,página de desambiguación de Wikimedia
La Unión,ciudad de Chile
San Vicente,municipio de Filipinas
jefe supremo del Estado de El Salvador,presidente
Barcelona,ciudad
misionero,profesión
Facultad de Filosofía y Teología Sankt Georgen,universidad
Universidad Centroamericana José Simeón Cañas,universidad
Bakersfield,ciudad
Estados Unidos,país
Universidad de California en Berkeley,institución educativa
Departamento de Morazán,departamento de El Salvador
"Gran Cruz, clase especial, del Mérito de La República Federal de Alemania",grado de una orden
Jorge Lardé y Arthés,ser humano
Jorge Lardé y Larín,ser humano
Jorgelina Cerritos,ser humano
José Agustín Ruiz,ser humano
José Antonio Morales Erlich,ser humano
José Dutriz,ser humano
José Mariano Calderón,ser humano
José María Méndez Calderón,ser humano
José María Peralta Lagos,ser humano
José María Tojeira,ser humano
Manlio Argueta,ser humano
