entidad,tipo_entidad
Agustín Gómez,ser humano
Agustín Iriarte,ser humano
Alaíde Foppa,ser humano
Harris Whitbeck,ser humano
Alejandro Sinibaldi,ser humano
Alfonso Bauer Paiz,ser humano
Alfonso Enrique Barrientos,ser humano
Alfredo Wyld,ser humano
Adela de Torrebiarte,ser humano
Alfonso Orantes,ser humano
Hedras Ramos,ser humano
Helder Torres,ser humano
Helen Mack Chang,ser humano
Arturo Ubico Urruela,ser humano
Baudilio Méndez,ser humano
Henry Raudales,ser humano
Boby Tally,ser humano
Boris España,ser humano
Hernán Sandoval,ser humano
Carlos Figueroa Ibarra,ser humano
Guatemala,país
escritor,profesión
pintor,profesión
Barcelona,ciudad
España,país
Sorbonne Universidad de París,universidad
Universidad Nacional Autónoma de México,universidad
periodista,profesión
Columbia University Graduate School of Journalism,escuela de postgrado
Mazatenango,municipio
político,profesión
Universidad Rafael Landívar,universidad
Ciudad de Guatemala,ciudad
Universidad de San Carlos de Guatemala,universidad
Diputado del Congreso de Guatemala,parlamentario
compositor,músico
poeta,escritor
Generación del 20,colectivo de artistas
músico,profesión
guitarrista,profesión musical
nadador,deportista
Retalhuleu,ciudad
activista por los derechos humanos,activista
Premio Right Livelihood,premio
violinista,profesión
Guastatoya,ciudad
futbolista,deportista
Chiquimula,página de desambiguación de Wikimedia
empresario,ocupación
Escuela Agrícola Panamericana,universidad
sociólogo,profesión
Carlos Illescas,ser humano
Carlos Lapola,ser humano
Carlos Mercedes Vásquez,ser humano
Celso Lara,ser humano
Cynthia del Águila,ser humano
Claudio valerio Gaetani,ser humano
César Augusto Palma y Palma,ser humano
Dalia Soberanis,ser humano
Dante Liano,ser humano
Diego Molina Flores,ser humano
Domingo Bethancourt,ser humano
Edelberto Torres Rivas,ser humano
Edwin Enríquez,ser humano
Efraín Medina,ser humano
Enrique Martínez Sobral,ser humano
Enrique Solares,ser humano
Erwin Guillermo,ser humano
Mario Monteforte Toledo,ser humano
Luis de Lion,ser humano
Fabián Rodríguez,ser humano
Premio Xavier Villaurrutia,premio
Esquipulas,municipio
antropólogo,profesión
Universidad del Valle de Guatemala,universidad
Ministro de Educación de Guatemala,cargo público
actor,profesión
deportista,profesión
Chimaltenango,municipio
fotógrafo,profesión
Cobán,municipio
Santa Catarina Mita,municipio
ingeniero agrónomo,profesión
"Ministro de Agricultura, Ganadería y Alimentación de Guatemala",ministro
Academia Mexicana de la Lengua,institución académica
Presidente del Congreso de la República de Guatemala,cargo
Carlos Solórzano,ser humano
Carmen Rodríguez,ser humano
Carol Zardetto,ser humano
Catarina Castor,ser humano
Christian López,ser humano
Christopher Díaz-Figueroa,ser humano
Claudio Albizuris,ser humano
Cristian Álvarez,ser humano
Cristina Siekavizza,ser humano
César Augusto Blanco Gramajo,ser humano
César Montenegro Paniagua,ser humano
Daniela Schippers,ser humano
Dario Escobar,ser humano
Myrna Elizabeth Mack Chang,ser humano
Denis Chen,ser humano
E. Antonio Romero,ser humano
Edgar Aroldo Cotto Gonzalez,ser humano
Edgar Chinchilla,ser humano
Edgar Valencia,ser humano
Eduardo Acevedo,ser humano
San Marcos,página de desambiguación de Wikimedia
dramaturgo,propiedad de Wikidata para elementos sobre obras
México,asentamiento
esgrimista,deportista
guionista,profesión
viceministro,cargo
Coatepeque,página de desambiguación de Wikimedia
tenista,deportista
ajedrecista,deportista
ajedrecista por correspondencia,ocupación
Universidad Estatal de Florida,universidad
Departamento de Retalhuleu,departamento
San Pedro Carchá,municipio
Departamento de Sololá,departamento
Asunción Mita,municipio
entrenador,profesión
Epaminondas González Dubón,ser humano
Eduardo López,ser humano
Eduardo Suger,ser humano
Edward Cocherari,ser humano
Edwin Westphal,ser humano
Edy Cabrera,ser humano
Efraín Enrique Recinos Vanenzuela,ser humano
Engelver Herrera,ser humano
Enrique Gómez Carrillo,ser humano
Eric Vonn,ser humano
Erick Miranda,ser humano
Ramón Aceña Durán,ser humano
Ernesto Cofiño,ser humano
