entidad,tipo_entidad
Edgard Crisanto,ser humano
Randy Diamond,ser humano
Josué Discua,ser humano
Manuel Doño,ser humano
José Escalante,ser humano
Kevin Espinoza,ser humano
Bryan Róchez,ser humano
Brayan Figueroa,ser humano
Juan Flores Madariaga,ser humano
Alexander García,ser humano
Brayan García,ser humano
Luis García Peña,ser humano
Ana García Carías,ser humano
Harlinton Gutiérrez,ser humano
Hernán García Martínez,ser humano
Franklyn Jhonson,ser humano
Ronald Martínez Ponce,ser humano
Henrry Mejia,ser humano
Rubén Licona,ser humano
Efraín López,ser humano
Tela,página de desambiguación de Wikimedia
futbolista,deportista
Honduras,país
Santa Bárbara,ciudad
entrenador,profesión
Comayagua,página de desambiguación de Wikimedia
San Pedro Sula,ciudad
Villanueva,municipio
Tegucigalpa,ciudad
El Porvenir,página de desambiguación de Wikimedia
Catacamas,municipio
El Progreso,página de desambiguación de Wikimedia
presidente,propiedad de Wikidata para elementos sobre organizaciones
Universidad de Albany,universidad
Primera Dama de Honduras,cargo
José Santos Guardiola,ser humano
Puerto Cortés,municipio
La Ceiba,ciudad
Balfate,municipio
Dennis Ferrera,ser humano
Dunia Elvir,ser humano
Eddy Vega,ser humano
Edgar Nuñez,ser humano
Eduardo Arriola,ser humano
Eduardo Bähr,ser humano
Edwin Yobani Avila,ser humano
María Antonieta Guillén Vásquez,ser humano
Elizabeth Azcona Bocock,ser humano
Elkin González,ser humano
Elmer Marín,ser humano
Elmer Mejia,ser humano
Elmer Montoya,ser humano
Elvia Alvarado,ser humano
Elvia Reyes,ser humano
Elvis Scott,ser humano
Emilio Umanzor,ser humano
Emilson Cruz,ser humano
Enrique Flores Lanza,ser humano
Erick Andino,ser humano
periodista,profesión
Universidad de Phoenix,universidad
Roatán,isla
actor,profesión
Brassavola de oro,distinción
político,profesión
vicepresidente,cargo
Universidad de Notre Dame,universidad
La Libertad,municipio
Sonaguera,municipio
activista por los derechos humanos,activista
esgrimista,deportista
Olanchito,municipio
abogado,profesión
Erick Martínez Ávila,ser humano
Mary Flake de Flores,ser humano
Ernesto Noel Aquino,ser humano
Esdras Padilla,ser humano
Esteban Handal Perez,ser humano
Fermin Galeano,ser humano
Júnior Lacayo,ser humano
Francisco Antonio López,ser humano
Francisco Antonio Pavón,ser humano
Franco Güity,ser humano
Franklin Webster,ser humano
Fredy Nasser,ser humano
Félix Crisanto,ser humano
Gabriela Núñez,ser humano
Georgino Orellana,ser humano
Geovanny Castro,ser humano
Geovany Baca,ser humano
Nahúm Espinoza,ser humano
Gerson Rodas,ser humano
Sami Kafati,ser humano
Universidad Nacional Autónoma de Honduras,universidad
Memphis,ciudad
Estados Unidos,país
Universidad Estatal de Luisiana,universidad
empresario,ocupación
Universidad de Texas en Austin,universidad
diputado del Congreso Nacional de Honduras,parlamentario
Santa Rosa de Aguán,municipio
Universidad de Texas A&M,universidad
Brus Laguna,municipio
boxeador,deportista
director de cine,profesión
Ramón Rosa,ser humano
Gilberto Machado,ser humano
Felipe Bustillo,ser humano
Rafael Manzanares Aguilar,ser humano
Argentina Díaz Lozano,ser humano
Carlos Gutiérrez (diplomático),ser humano
Carlos Zúñiga Figueroa,ser humano
Cirilo Nelson,ser humano
Clementina Suárez,ser humano
Nora Gúnera de Melgar,ser humano
Edwin Pavón,ser humano
Ernesto Alvarado García,ser humano
Ernesto Bondy Reyes,ser humano
Esteban Handal Pérez,ser humano
Eugenio Dolmo Flores,ser humano
Eva Cortés,ser humano
Federico Ramírez,ser humano
Gaby Flores,ser humano
Gonzalo Guardiola,ser humano
Hermán Allan Padgett,ser humano
Universidad de San Carlos de Guatemala,universidad
Juticalpa,ciudad
La Esperanza,asentamiento
compositor,músico
Premio Nacional de Arte Pablo Zelaya Sierra,distinción
Santa Rosa de Copán,ciudad
diplomático,profesión
Orden de la Cruz del Sur,orden
Universidad de Boston,universidad
botánico,biólogo
Universidad de Colorado,universidad
escritor,profesión
Concepción de María,municipio
La Lima,municipio
La Unión,asentamiento
juez,propiedad de Wikidata relacionada con el derecho y la justicia
cantante,músico
artista,profesión
Departamento de Comayagua,departamento
Departamento de El Paraíso,departamento
Rafael Coello Ramos,ser humano
Óscar Boniek García,ser humano
Jimmy Stewart,ser humano
José María Reyes Mata,ser humano
Carlos Flores Facussé,ser humano
Reinaldo Llanta,ser humano
Fernando Bulnes,ser humano
Donis Escober,ser humano
Juan Lindo y Zelaya,ser humano
Wilmer Velásquez,ser humano
Luis Ramos,ser humano
Aurelio (músico),ser humano
Aarón Bardales,ser humano
Ramón Villeda Morales,ser humano
Carlos Pastrana,ser humano
Billy Joya,ser humano
Romell Quioto,ser humano
Carlos Roberto Reina Idiáquez,ser humano
Juan Alberto Melgar Castro,ser humano
Policarpo Paz García,ser humano
Comayagüela,entidad territorial administrativa
Orden de Francisco Morazán,orden
San Francisco de Yojoa,municipio
médico,profesión
Presidente del Congreso Nacional de Honduras,cargo
Cali,ciudad
Colombia,país
Universidad del Valle,universidad
San Ignacio,comuna
España,país
presidente de Honduras,cargo público
Plaplaya,pueblo
Ocotepeque,ciudad
Universidad Humboldt de Berlín,universidad
árbitro de fútbol,profesión
Instituto del Hemisferio Occidental para la Cooperación en Seguridad,escuela
Marcala,municipio
Academia Militar de Honduras General Francisco Morazán,institución académica
Goascorán,municipio
Manuel Bueso Pineda,ser humano
Mary Elizabeth Flores,ser humano
María Martha Díaz Velásquez,ser humano
Maximiliano Ramírez Euceda,ser humano
Melina Pineda,ser humano
Miguel Rodrigo Pastor,ser humano
Modesto Rodas Alvarado,ser humano
Moisés Becerra,ser humano
Odis Borjas,ser humano
Pablo Zelaya Sierra,ser humano
Irbin Guerrero,ser humano
Irvin Reyna,ser humano
Ricardo Agurcia Fasquelle,ser humano
Ricardo Barrios,ser humano
