entidad,tipo_entidad
Federico Escobar,ser humano
Roberto Antonio Nurse,ser humano
Abdiel J. Adames,ser humano
Abel Bravo,ser humano
Abel Castillo Pérez,ser humano
Acracia Sarasqueta,ser humano
Adán Gordón,ser humano
Harold Cummings,ser humano
Agustín Del Rosario,ser humano
Alberto Dutary,ser humano
Alberto S. Taylor,ser humano
Alejandro Lagrotta,ser humano
Alexander Andreve,ser humano
Alfredo Cantón,ser humano
Alfredo Phillips,ser humano
Amelia Denis de Icaza,ser humano
Simón Urbina,ser humano
Améth Ramírez,ser humano
Ana Isabel Illueca,ser humano
Arysteides Turpana,ser humano
Ciudad de Panamá,ciudad
poeta,escritor
Panamá,país
futbolista,jugador
México,asentamiento
químico,profesión
Universidad de Panamá,universidad
político,profesión
Parita,Distritos de Panamá
escritor,profesión
nadador,deportista
pintor,profesión
botánico,biólogo
Universidad de Pensilvania en Indiana,universidad
cantante,músico
Nuevo Emperador,Comunidad de Panamá
Ciudad de Colón,página de desambiguación de Wikimedia
compositor,músico
Río Azúcar,arroyo
Universidad Federal de Bahía,universidad
Bolívar Urrutia Parrilla,ser humano
Herasto Reyes,ser humano
Buenaventura Correoso,ser humano
Carlos Oriel Wynter Melo,ser humano
Catherine,deportes electrónicos
Diógenes Cedeño Cenci,ser humano
Chantal Martínez,ser humano
Chavelita Pinzón,ser humano
Cienfue,ser humano
Damián Castillo Durán,ser humano
Danger Man,serie de televisión
Demetrio Herrera Sevillano,ser humano
Demetrio Korsi,ser humano
Erika Ender,ser humano
Dimitri Sucre Benjamin,ser humano
Manuel María Ayala,ser humano
Diógenes de la Rosa,ser humano
Dolores Caballero Núñez,ser humano
Dora Pérez de Zárate,ser humano
Edgar Soberón Torchia,ser humano
Las Tablas,página de desambiguación de Wikimedia
militar,profesión
educador,profesión
David,personaje humano bíblico
boxeador,deportista
Ancón,asentamiento
actor,profesión
Premio Grammy Latino a la canción del año,categoría de un premio
recolector de plantas,ocupación
Brasil,álbum
Chepo,Distritos de Panamá
España,página de desambiguación de Wikimedia
Escuela Internacional de Cine y Televisión,escuela de cine
Eduard Benitez,ser humano
Eduardo Charpentier de Castro,ser humano
Eduardo Jiménez,ser humano
Elsie Alvarado de Ricord,ser humano
Enrique Jaramillo Levi,ser humano
Eric Hughes,ser humano
Ernesto Jaén Guardia,ser humano
Pedro J. Sosa,ser humano
Esther Neira de Calvo,ser humano
Eusebio Antonio Morales,ser humano
Eustaciano Arias,ser humano
Gil Colunje,ser humano
Giovanna Benedetti,ser humano
Gringo el Original,ser humano
Gumercinda Páez,ser humano
Japanese,ser humano
Javier Alvarado,ser humano
Javier Romero Hernández,ser humano
Jean McLean,ser humano
Jeptha Brawner Duncan Guillén-Arosemena,ser humano
La Chorrera,ciudad
ingeniero,profesión
Penonomé,ciudad
Bolívar,estado de Venezuela
abogado,profesión
deportista,profesión
Colombia,país
Universidad Autónoma de Barcelona,universidad
Santiago de Veraguas,ciudad
Concurso Nacional de Literatura Ricardo Miró,distinción
Sorbonne Universidad de París,universidad
Joaquín Beleño,ser humano
Joel Santos Ureña,ser humano
Q5932808,
Johnny Ruiz,ser humano
Jorge Conte Porras,ser humano
Jorge Turner,ser humano
José Abdul Pinto,ser humano
José Antonio Marín,ser humano
José Daniel Crespo,ser humano
José Diego Álvarez P.,ser humano
José Dolores Moscote,ser humano
José Dolores Urriola,ser humano
Humberto Ivaldi,ser humano
José Justavino,ser humano
José Marmolejo,ser humano
José María Alemán,ser humano
José de Fábrega,ser humano
Julio Medina,ser humano
Julio Segundo,ser humano
Luis Concepción,ser humano
Boquete,Distritos de Panamá
Instituto Nacional de Panamá,escuela
Pesé,Comunidad de Panamá
Universidad de Columbia,universidad
Cartagena de Indias,obra escrita
Real y Militar Orden de San Hermenegildo,condecoración militar
I. Roberto Eisenmann Jr.,ser humano
Lucho Azcarraga,ser humano
Lucy Jaén,ser humano
Luisita Aguilera Patiño,ser humano
Manuel Bonilla Atencio,ser humano
Manuel José Hurtado,ser humano
Manuel Torres,ser humano
Marcos G. McGrath,ser humano
Marta Matamoros,ser humano
María Natividad Sánchez de Stapf,ser humano
María de la Ossa de Amador,ser humano
Mateo Iturralde,ser humano
Matilde Real de González,ser humano
Mayín Correa,ser humano
Melitón Martín Villalta,ser humano
Miguel Tello,ser humano
Miguel Ángel Barcasnegras,ser humano
Mitchell Doens,ser humano
Moisés Giroldi Vera,ser humano
Moisés Pinzón Martínez,ser humano
periodista,profesión
Premio María Moors Cabot,premio de periodismo
Antón,Comunidad de Panamá
sacerdote católico,presbítero
Universidad de Notre Dame,universidad
Congregación de Santa Cruz,organización religiosa
Provincia de Panamá,provincia de Panamá
sindicalista,activista
catedrático,profesor universitario
Universidad Estatal de Feira de Santana,universidad
Organización de las Naciones Unidas para la Alimentación y la Agricultura,agencia de la ONU
Sahagún,página de desambiguación de Wikimedia
primera dama,consorte
Primera dama de Panamá,cargo
Universidad Complutense de Madrid,placa conmemorativa
Macaracas,Comunidad de Panamá
Zaragoza,municipio de España
religioso,profesión
economista,profesión
empresario,ocupación
Apache Ness,ser humano
Aquilino Boyd,ser humano
Aramis Haywood,ser humano
Armando Dely Valdés,ser humano
Armando Polo,ser humano
Arquimedes Nieto,ser humano
Arturo Tejada,ser humano
Arturo Vallarino,ser humano
Arturo Worrell,ser humano
Audes de León,ser humano
Augusto Aurelio Fábrega Donado,ser humano
Avelino Asprilla,ser humano
Barbra Higgins,ser humano
Ben Oglivie,ser humano
Bernardino González Ruiz,ser humano
Bienvenido Cedeño,ser humano
Bill Haywood,ser humano
Braulio Baeza,ser humano
Brunet Francisco Hay,ser humano
Calito Soul,ser humano
artista,profesión
College of the Holy Cross,universidad
parlamentario,legislador
beisbolista,deportista
karateca,profesión
Aguadulce,Comunidad de Panamá
diplomático,profesión
Universidad Rusa de la Amistad de los Pueblos,universidad
Medalla Pushkin,distinción
esgrimista,deportista
médico,profesión
Bocas del Toro,página de desambiguación de Wikimedia
Estados Unidos,país
Universidad de Carolina del Norte en Chapel Hill,universidad
Panama City,ciudad
jockey,propiedad de Wikidata relacionada con la equitación
Carlos Afu,ser humano
Carlos Duque,ser humano
Carlos Melo,ser humano
Carlos Muñoz,ser humano
Carlota Lozano,ser humano
