entidad,tipo_entidad
Heriberto Herrera,ser humano
Gerardo Romero,ser humano
Adolfino Cañete,ser humano
Diego Figueredo,ser humano
Delfín Benítez Cáceres,ser humano
David Portillo,ser humano
Ubaldo Aquino,ser humano
Epifanio González,ser humano
Esther Ballestrino,ser humano
Herminio Miranda,ser humano
José Luis Appleyard,ser humano
Edgar Rolón,ser humano
Lorenzo Melgarejo,ser humano
Juan Daniel Cáceres,ser humano
Juan Manuel Iturbe,ser humano
Fidel Maíz,ser humano
Eulogio Martínez,ser humano
César Meza Colli,ser humano
Juan Samudio,ser humano
Livio Abramo,ser humano
Guarambaré,municipio
entrenador,profesión
España,página de desambiguación de Wikimedia
Paraguay,país
futbolista,deportista
Asunción,ciudad
Argentina,país
San Juan Bautista,barrio administrativo de Madrid
San Pedro de Ycuamandiyú,ciudad
árbitro de fútbol,profesión
árbitro FIFA,cargo
Fray Bentos,ciudad
activista,ocupación
Uruguay,país
Universidad Nacional de Asunción,universidad
Madres de Plaza de Mayo,asociación
Itá,ciudad
abogado,profesión
Loma Grande,municipio
Buenos Aires,asentamiento
Arroyos y Esteros,municipio
político,profesión
Araraquara,ciudad
grabador,profesión
Brasil,país
Accademia delle Arti del Disegno,institución académica
Mauricio José Troche,ser humano
Víctor Hugo Mareco,ser humano
Éric Ramos,ser humano
Cayetano Ré,ser humano
José Eduvigis Díaz,ser humano
Tomás Romero Pereira,municipio
Darío Segovia,ser humano
Gerardo Rivas,ser humano
Estanislao Struway,ser humano
Carlos Franco,ser humano
Attila Sallustro,ser humano
Domingo Francisco Sánchez,ser humano
Derlis Florentín,ser humano
Elvio Romero,ser humano
Juan Manuel Frutos,ser humano
Neuris Delgado Ramírez,ser humano
José Domingo Salcedo,ser humano
Julio César Manzur,ser humano
Amadeo Ortega,ser humano
Lorenzo Calonga,ser humano
Curuguaty,municipio
militar,profesión
Carapeguá,municipio
Pirayú,municipio
líder militar,oficial militar
Encarnación,ciudad
arquitecto,profesión
Universidad Nacional de La Plata,universidad
presidente de Paraguay,cargo público
Piribebuy,municipio
golfista,deportista
Italia,país
vicepresidente del Paraguay,cargo
Caacupé,municipio
Yegros,municipio
escritor,profesión
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Bayamo,ciudad
ajedrecista,deportista
Concepción,ciudad
Luque,municipio
Itauguá,municipio
Luis Enrique Cáceres,ser humano
Daniel Jara Martínez,ser humano
Manuel Andrada,ser humano
Mario Rubén Heyn,ser humano
Martín Portillo,ser humano
Lourdes Arévalos,ser humano
Nery Kennedy,ser humano
Nicolás Caballero,ser humano
Oscar Velásquez,ser humano
Paz Encina,ser humano
Roberto González Segovia,ser humano
Roque Vallejos,ser humano
Rubén Ramírez Lezcano,ser humano
Luis Alberto Castiglioni,ser humano
Jonathan Fabbro,ser humano
Virgilio Ferreira Romero,ser humano
Jorge Martín Salinas,ser humano
Lucas Melano,ser humano
Víctor Fatecha,ser humano
Víctor Galeano,ser humano
arpista,profesión musical
San Lorenzo,ciudad
modelo,propiedad
participante en concursos de belleza,concurseante
Mbocayaty del Yhaguy,municipio
atleta,deportista
guionista,profesión
Hamaca paraguaya,película
ministro de Defensa,cargo
Universidad de California en Los Ángeles,universidad
Medalla de la República Oriental del Uruguay,medalla
Itacurubí del Rosario,municipio
ingeniero,profesión
Universidad Católica Nuestra Señora de la Asunción,universidad
Atyrá,municipio
Córdoba,municipio
piloto de automovilismo,profesión
Édgar Benítez,ser humano
Juan Carlos Wasmosy,ser humano
José Saturnino Cardozo,ser humano
José Félix Estigarribia,ser humano
Nelson Cuevas,ser humano
Pedro Pablo Peña,ser humano
Carlos Kiese,ser humano
Adolfo Saguier,ser humano
Agustín Pío Barrios,ser humano
Jorge Amado Nunes,ser humano
Sergio Aquino,ser humano
Juan José Medina,ser humano
Julio dos Santos,ser humano
José Ariel Núñez,ser humano
Andrés Barbero,ser humano
Renée Ferrer de Arréllaga,ser humano
Blanca Ovelar,ser humano
Veronica Cepede Royg,ser humano
Luis Ángel González Macchi,ser humano
Andrés Rodríguez Pedotti,ser humano
Repatriación,municipio
Nueva Italia,municipio
México,asentamiento
Caraguatay,página de desambiguación de Wikimedia
Escuela Especial Militar de SaintCyr,institución académica
Río Tebicuary,río
compositor,ocupación
Berazategui,ciudad
Laguna Blanca,comuna
recolector de plantas,ocupación
poeta,escritor
Senador Nacional de Paraguay,cargo
tenista,deportista
Borja,página de desambiguación de Wikimedia
Ángel Cardozo Lucena,ser humano
César Zabala,ser humano
David Meza,ser humano
Derlis Aníbal González,ser humano
Domingo Benegas,ser humano
Edelmiro Arévalo,ser humano
Egni Eckert,ser humano
Eligio Echagüe,ser humano
Eligio Martínez,ser humano
Eligio Insfrán,ser humano
Eliseo Insfrán,ser humano
Óscar Denis Sánchez,ser humano
Fabio Alcaraz,ser humano
Fabio Caballero,ser humano
Faustino Alonso,ser humano
Felipe Ocampos,ser humano
Fernando Giménez,ser humano
Fidencio Oviedo,ser humano
Fiorella Migliore,ser humano
Francisco Ferreira,ser humano
Capiatá,municipio
Pedro Juan Caballero,ciudad
jugador de fútbol sala,deportista
Presidente Franco,municipio
Coronel Oviedo,municipio
Ciudad del Este,ciudad
actor,profesión
Enrique Avalos,ser humano
Melanio Báez,ser humano
Darío Jara,ser humano
Óscar Aguilera,ser humano
Victoriano Leguizamón,ser humano
Marcelino Vargas,ser humano
José Aveiro,ser humano
Casiano Céspedes,ser humano
Armando González,ser humano
Antonio Cabrera,ser humano
Francisco Sosa,ser humano
Carlos Jara Saguier,ser humano
Pánfilo Escobar,ser humano
Edgar Robles,ser humano
José de La Cruz Benítez,ser humano
Carlos Espínola,ser humano
Peter P. Klassen,ser humano
Casiano Delvalle,ser humano
Porfirio Rolón,ser humano
Abraham Acevedo,ser humano
Yaguarón,página de desambiguación de Wikimedia
Colonia de Jortytsia,volost del Imperio ruso
Lambaré,municipio
yudoca,deportista
Roberto Villanueva,ser humano
Marco Ruiz,ser humano
Marcial Ávalos,ser humano
Pablo Centurión,ser humano
Alberto González Gonzalito,ser humano
Roberto Ismael Torres Baez,ser humano
Sebelio Peralta Álvarez,ser humano
Gustavo Benítez,ser humano
Juan Carlos Franco,ser humano
Roberto Cabañas,ser humano
"Pablo César Aguilar ""El Capi Azulado""",ser humano
Danilo Aceval,ser humano
Pedro Sarabia,ser humano
Julia Isídrez,ser humano
Julio Santa Cruz,ser humano
José Patricio Guggiari,ser humano
Eligio Ayala,ser humano
Juan Bautista Villalba,ser humano
José Parodi,ser humano
Silvio Pettirossi,ser humano
sacerdote católico,presbítero
obispo auxiliar,cargo eclesiástico
Paraguarí,municipio
Pilar,municipio
artista,profesión
Premio Príncipe Claus,premio
escuela primaria,institución educativa
Mbuyapey,asentamiento
Universidad de Heidelberg,universidad
piloto de aviación,profesión
Édgar González,ser humano
Luis Alberto del Paraná,ser humano
Carlos Morales Santos,ser humano
Hugo Brizuela,ser humano
Julio César Yegros,ser humano
César Ramírez,ser humano
Rogelio Delgado,ser humano
Daniel Sanabria,ser humano
Federico Santander,ser humano
Rolando Chilavert,ser humano
Luis Nery Caballero,ser humano
Osmar Molinas,ser humano
Miguel Samudio,ser humano
Pablo Velázquez,ser humano
Richard Ortiz,ser humano
Modesto Denis,ser humano
César López Fretes,ser humano
Atilio López,ser humano
Juan Cañete,ser humano
Altos,página de desambiguación de Wikimedia
Alberto y Los Trios Paraguayos,grupo musical
Tobatí,localidad
Villarrica,ciudad
Héctor Lacognata,ser humano
Ronald Huth,ser humano
Marcos Antonio Morínigo,ser humano
Rafael Franco,ser humano
Luis Alberto Riart,ser humano
Jorge Adolfo Carlos Livieres Banks,ser humano
Ricardo Jorge Valenzuela Ríos,ser humano
Luis Fernando Páez,ser humano
Sergio Órteman,ser humano
Agustín Barboza,ser humano
Arístides Rojas,ser humano
Pablo Daniel Escobar,ser humano
Ángel Ortiz,ser humano
Eladio Zárate,ser humano
Víctor Espínola,ser humano
Juan Francisco Escobar,ser humano
Jorge Battaglia,ser humano
Alejandro Da Silva,ser humano
Alfredo Mendoza,ser humano
Juan E. O'Leary,ser humano
Esquina,municipio
Montevideo,ciudad
Limpio,municipio
Bolivia,país
Areguá,ciudad
Alberdi,página de desambiguación de Wikimedia
cantante,músico
músico,profesión
Salvador Jovellanos,ser humano
Higinio Uriarte,ser humano
Juan Bautista Gill,ser humano
José Gaspar Rodríguez de Francia,ser humano
Néstor Camacho,ser humano
Francisco Solano López,ser humano
Fulgencio Yegros,ser humano
Raúl Vicente Amarilla,ser humano
Federico Franco,ser humano
Rodolfo Gamarra,ser humano
Marcelo Estigarribia,ser humano
Raúl Cubas Grau,ser humano
Néstor Ortigoza,ser humano
Willi Plett,ser humano
Diego Gavilán,ser humano
Josefina Plá,ser humano
Herminio Giménez,ser humano
Arsenio Erico,ser humano
Ananías Maidana Palacios,ser humano
Fabián Caballero,ser humano
Universidad Nacional de Córdoba,universidad
Villa Florida,ciudad
cónsul,cargo
San Antonio de Padua,ciudad
jugador de hockey sobre hielo,ocupación
Canadá,parada de autobús
Trofeo Calder,distinción
Isla de Lobos,isla volcánica
Academia Internacional de Cerámica,institución académica
Medalla de Oro al Mérito en las Bellas Artes,premio
General Bernardino Caballero,municipio
secretario general,propiedad de Wikidata para elementos sobre organizaciones
Posadas,ciudad
Augusto el más capito,ser humano
Celso Ortiz,ser humano
Guido Alvarenga,ser humano
Santiago Salcedo,ser humano
Larissa Riquelme,ser humano
María José Maldonado,ser humano
Yanina González,ser humano
Lucas Barrios,ser humano
Nelson Haedo Valdez,ser humano
Iván Piris,ser humano
Estefanía Küster,ser humano
Axel Bachmann,ser humano
Emil Hassler,ser humano
Johann Rudolf Rengger,ser humano
Zacarías Ortiz Rolón,ser humano
Emiliano González Navero,ser humano
Benigno Ferreira,ser humano
Fernando Lugo,ser humano
Roque Santa Cruz,ser humano
Alfredo Stroessner,ser humano
Universidad de Toulouse IILe Mirail,universidad
Yo el Supremo,obra literaria
San Fernando,ciudad
Departamento de Caaguazú,departamento
Alemania,página de desambiguación de Wikimedia
presentador de televisión,presentador
Aarau,ciudad
naturalista,científico
Suiza,país
honoris causa,título honorífico
Baden,ciudad
médico,profesión
obispo titular,cargo eclesiástico
San Pedro del Paraná,municipio
Pontificia Universidad Gregoriana,universidad
Escuela de Armas,institución educativa
Óscar Cardozo,ser humano
Antolín Alcaraz,ser humano
Cristian Riveros,ser humano
José Luis Chilavert,ser humano
Justo Villar,ser humano
Nicanor Duarte Frutos,ser humano
Leryn Franco,ser humano
Carlos Antonio López,ser humano
Manuel Fleitas Solich,ser humano
Ángel Berni,ser humano
Francisco Arce,ser humano
Leongino Unzaim,ser humano
Samuel Aguilar,ser humano
Francisco González,ser humano
Darío Verón,ser humano
José Montiel,ser humano
Carlos Gamarra,ser humano
Paulo César Da Silva,ser humano
Edgar Barreto,ser humano
Enrique Vera,ser humano
Doctor Juan Eulogio Estigarribia,municipio
San Roque González de Santa Cruz,municipio
Julián Augusto Saldívar,municipio
Cerrito,página de desambiguación de Wikimedia
Sociedad de Geografía de Berlín,sociedad geográfica
Wiesbaden,ciudad
San Ignacio Guazú,ciudad
Ypacaraí,municipio
Juan Lezcano,ser humano
Néstor Ayala,ser humano
Victor Caballero,ser humano
Francisco Aguirre,ser humano
Luis Vargas Peña,ser humano
Osvaldo Martínez,ser humano
Freddy Bareiro,ser humano
Nelson Cabrera,ser humano
Juana Marta Rodas,ser humano
Catalino Rivarola,ser humano
Ramón Delgado,ser humano
Ben Hockin,ser humano
Cirilo Antonio Rivarola,ser humano
Gustavo Morínigo,ser humano
Marcos Cáceres,ser humano
Rodrigo Rojas,ser humano
Ángel Franco,ser humano
Gabriel Casaccia,ser humano
David Galeano Olivera,ser humano
Pedro Benítez,ser humano
ceramista,profesión
Barranquilla,ciudad
nadador,deportista
Reino Unido,país
Eusebio Ayala,ser humano
Fernando de la Mora,municipio
Eustacio Chamorro,ser humano
Diego Florentín,ser humano
Quiterio Olmedo,ser humano
José Miracca,ser humano
Eusebio Díaz,ser humano
Romildo Etcheverry,ser humano
Lino Nessi,ser humano
Saguier Carreras,ser humano
Salvador Flores,ser humano
Jacinto Villalba,ser humano
Emilio Martínez,ser humano
Santiago Benítez,ser humano
Ernesto Cristaldo,ser humano
Carlos Diarte,ser humano
Facundo Machaín,ser humano
Moisés Santiago Bertoni,ser humano
Jorge Luis Campos,ser humano
Ever Hugo Almeida,ser humano
Miguel Ángel Benítez Pavón,ser humano
Roberto Eladio Fernández Bonillo,ser humano
profesor,educador
Lottigna,pueblo
ornitólogo,profesión
Salto,freguesía
Olga Blinder,ser humano
Ricardo Tavarelli,ser humano
Gabriel González,ser humano
Miguel Giacomuzzi,ser humano
Gonzalo Cardozo,ser humano
Rossana de los Ríos,ser humano
Gustavo Gómez Portillo,ser humano
Matías Rodrigo Pérez,ser humano
Carlos Milcíades Villalba Aquino,ser humano
Celso Esquivel,ser humano
Claudio Silvero Acosta,ser humano
Lino César Oviedo Silva,ser humano
Carlos Peralta,ser humano
Manuel Bernal,ser humano
Dario Lezcano,ser humano
Ricardo Boettner,ser humano
Edmundo Mellid,ser humano
Florencio Amarilla,ser humano
Hernán Arsenio Pérez,ser humano
Epifanio Méndez Fleitas,ser humano
obispo diocesano,cargo eclesiástico
General Artigas,municipio
Iturbe,página de desambiguación de Wikimedia
Juan de Mena,ser humano
comandante,militar
Orden de Mayo,orden
químico,profesión
Cruz de Oficial de la Orden del Mérito de la República Federal de Alemania,condecoración
Universidad Pontificia Salesiana,universidad
Coronel Bogado,municipio
Ñemby,municipio
Julio César Cáceres,ser humano
Carlos Bonet,ser humano
Jonathan Santana,ser humano
Juan Bautista Agüero,ser humano
Claudio Morel Rodríguez,ser humano
Gilberto Penayo,ser humano
Julio César Romero,ser humano
Diego Barreto,ser humano
Salvador Cabañas,ser humano
Denis Caniza,ser humano
Adalberto Martínez Flores,ser humano
Víctor Cáceres,ser humano
Roberto Acuña,ser humano
Rafael Barrett,ser humano
Carlos Amarilla,ser humano
Aureliano Torres,ser humano
Aldo Bobadilla,ser humano
Carlos Javier Acuña,ser humano
Ricardo Ismael Rojas,ser humano
Diógenes Domínguez,ser humano
San José de los Arroyos,municipio
Avellaneda,página de desambiguación de Wikimedia
jugador de fútbol playa,deportista
Torrelavega,ciudad
Colombia,país
Richard Gómez,ser humano
Mercedes Sandoval de Hempel,ser humano
Miguel Abdón Saguier,ser humano
Miguel Bonnin,ser humano
Nelson de Santaní,ser humano
Ramón Romero Roa,ser humano
Vicente Anastasio Jara,ser humano
William Paats Martínez,ser humano
Willian Candia,ser humano
Wilhelm Winther,ser humano
Aldo Florentín,ser humano
Rubén Roberto Paredes Vera,ser humano
Alfredo Aguilar,ser humano
Victor Bernal,ser humano
Antonio Bordon,ser humano
Aníbal Carrillo,ser humano
Marcos Acosta,ser humano
Eulalio Mora,ser humano
Antonio Pecci,ser humano
José Leonardo Cáceres,ser humano
coreógrafo,Wikidata property to identify contributors to audiovisual works
San Estanislao,municipio
periodista,profesión
Minga Guazú,municipio
artista visual,profesión artística
diplomático,profesión
Universidad de Lund,universidad
Gran Cruz de la Orden del Mérito de Hungría,grado de una orden
entrenador de balonmano,profesión
Maria Constanza Abente Benitez,ser humano
Andrea Cecilia Sanchez Bogado,ser humano
Maria Veronica Benitez Sienra,ser humano
Omar Daniel Gonzalez Villa,ser humano
Leandro Evair Ferreira Massare,ser humano
Santiago Daniel Cabrera Bauza,ser humano
Cesar Mora Sosa,ser humano
Matias Giuliano Souberlich Gugliotta,ser humano
Matias Sebastian Ramirez Riquelme,ser humano
Marcelo Manuel Ferreira Gubetich,ser humano
Amado Adrian Martinez Vitale,ser humano
Juan Martin Alonso Alvarez,ser humano
Marcelo Scura Wismann,ser humano
Oscar Dario Segovia Rinke,ser humano
Guido Daniel Ramirez Rodriguez,ser humano
Reynaldo Ezequiel Ramirez Riquelme,ser humano
Marcos David Rabino Rolon,ser humano
Jeremias Jesus Hrisuk Trussi,ser humano
Alex Fernando Emhart Ortiz,ser humano
Nelson Martin Benitez Montanes,ser humano
baloncestista,deportista
Larissa Caceres,ser humano
Paz Mereles,ser humano
Bethsaida Ferreira,ser humano
Sol Ocampo,ser humano
Victor Aquino,ser humano
Sebastian Bogado,ser humano
Mauricio Escurra,ser humano
Luis Vera,ser humano
Luis Ortiz,ser humano
Ignacio Ferreira,ser humano
Gustavo Palmerola,ser humano
Carlos Ljubetic,ser humano
Alexis Negrette,ser humano
Alex Baran,ser humano
Alejandro Talavera,ser humano
Alejandro Krug,ser humano
Antonio Montiel,ser humano
Cecilia Caceres,ser humano
Pamela Encina,ser humano
Guadalupe Davalos,ser humano
Diego Morel,ser humano
Óscar Nicolás López,ser humano
Felipe Santiago Núñez,ser humano
Eliodoro Marecos Ibarrola,ser humano
Juan Ángel Napout,ser humano
Arnaldo Recalde,ser humano
Dionicio Pérez,ser humano
Arnaldo Samaniego,ser humano
Ceferino Villagra,ser humano
Leonardo Villagra,ser humano
Hugo Santacruz,ser humano
Cristian Sosa Ledesma,ser humano
Fabián Stark,ser humano
Crispín Verza,ser humano
Alberto Noguès,ser humano
Francisco Romero Vázquez,ser humano
Lucio Calonga,ser humano
Virginia Corvalán,ser humano
Armando Vera,ser humano
Carlos Olmedo,ser humano
Mariano Roque Alonso,municipio
funcionario,empleado público
empresario,ocupación
presidente,apellido
R. I. Tres Corrales,municipio
Yasy Cañy,municipio
Gran Cruz de la Orden de Isabel la Católica,grado de una orden
Celso Guerrero,ser humano
Charli González,ser humano
Darío Figueredo,ser humano
Eumelio Palacios,ser humano
Dido Florentín Bogado,ser humano
Julio César Franco,ser humano
Francisco Silva Cabrera,ser humano
Marcelino Blanco,ser humano
Marcial Garay,ser humano
Iván Ramírez,ser humano
Nery Ortiz,ser humano
Juan Carlos Lezcano López,ser humano
Juan Franco Arrellaga,ser humano
Juan Manuel Marcos,ser humano
Oscar Surián,ser humano
Lilian Samaniego,ser humano
Ramón Alfredo Escobar,ser humano
Luis María Ramírez Boettner,ser humano
Lázaro Morga Lacalle,ser humano
Ricardo González Rotela,ser humano
Colonia Independencia (Paraguay),municipio
Juan E. O' Leary,municipio
Universidad Harvard,universidad
Universidad de California,universidad
Escuela de Derecho Harvard,facultad de derecho
ministro de Relaciones Exteriores,cargo público
Marin José Guimaraens,ser humano
Roger Miller Rojas,ser humano
Soledad Barrett Viedma,ser humano
Antonio Guasch,ser humano
Orlando Ramón Giménez Álvarez,ser humano
Luis César Ortiz Aquino,ser humano
Juvencio Osorio,ser humano
Heiko Grobenstieg,ser humano
Gustavo Miño,ser humano
Antonio Zaracho,ser humano
Rodney Aquino,ser humano
Alcides Báez,ser humano
Carlos Melanio Espínola,ser humano
Gerónimo Ovelar,ser humano
Flamínio Sosa,ser humano
César Serna,ser humano
Lidio Benítez,ser humano
Isabelino Acosta,ser humano
Diego Fabián Barreto,ser humano
Arecio Colmán,ser humano
Laureles,lugar designado por el censo en los Estados Unidos
militante de la resistencia,activista
Vanguardia Popular Revolucionaria,organización política
sacerdote,clérigo
lingüista,profesión
ciclista,deportista
Chile,país
