entidad,tipo_entidad
Mario Testino,ser humano
Miguel Núñez de Sanabria,ser humano
Héctor Bailetti,ser humano
Hernán Barcos,ser humano
Edwin Retamoso,ser humano
Luis Solari,ser humano
Pedro Gonzales,ser humano
Carlos Noriega,ser humano
Luis Giampietri,ser humano
Alberto Barton,ser humano
Hildebrando Castro Pozo,ser humano
Alberto Borea,ser humano
José Gálvez Egúsquiza,ser humano
Antonio Brack Egg,ser humano
John Hinostroza,ser humano
Nixa,ciudad
Marcio Valverde,ser humano
Manfred Oettl Reyes,ser humano
Denisse Fajardo,ser humano
Ottorino Sartor,ser humano
Lima,ciudad
fotógrafo,profesión
Reino Unido,país
Universidad del Pacífico,página de desambiguación de Wikimedia
Royal Photographic Society,sociedad erudita
abogado,profesión
España,país
Universidad Nacional Mayor de San Marcos,universidad
virrey del Perú,cargo histórico
Chincha Alta,ciudad
entrenador,profesión
Perú,país
futbolista,deportista
Bell Ville,ciudad
Argentina,país
Abancay,ciudad
médico,profesión
Presidente del Consejo de Ministros del Perú,cargo
astronauta,ocupación
Universidad del Sur de California,universidad
Administración Nacional de Aeronáutica y del Espacio,agencia
Callao,ciudad
político,profesión
Escuela Naval del Perú,institución académica
Vicepresidente del Perú,cargo público
Buenos Aires,ciudad
Ayabaca,ciudad
profesor,educador
escritor,profesión
Pontificia Universidad Católica del Perú,universidad
Comisión de Estudio de las Bases de la Reforma Constitucional del Perú,comisión
Departamento de Cajamarca,departmento del Perú
diputado de Perú,congresista
Distrito de Villa Rica,distrito
Universidad de Wurzburgo,universidad
Universidad Nacional Agraria La Molina,universidad
Distrito de San José,distrito
Múnich,ciudad
esquiador alpino,profesión
Alemania,país
voleibolista,deportista
jugador de voleibol de playa,profesión
Distrito de Chancay,distrito
Juan Landázuri Ricketts,ser humano
César Calvo,ser humano
Juan Reynoso,ser humano
Jorge Chávez,ser humano
Diego Valverde Villena,ser humano
Carlos Ferrero Costa,ser humano
Alberto Andrade Carmona,ser humano
Esteban Canal,ser humano
Alberto Pandolfi,ser humano
Fernando García López,ser humano
Saby Kamalich,ser humano
Miguel Ángel de la Flor Valle,ser humano
Luis Alberto Sánchez,ser humano
María Rostworowski,ser humano
Waldir Sáenz,ser humano
Alejandro Villanueva,ser humano
Orlando Prado,ser humano
Guillermo Salas,ser humano
Alberto Pizango,ser humano
José Luis Carranza,ser humano
Arequipa,ciudad
obispo católico,cargo eclesiástico
Universidad Nacional de San Agustín de Arequipa,universidad
cardenal,clérigo católico
Iquitos,ciudad
guionista,profesión
Premio El Poeta Joven del Perú,premio
París,ciudad
ingeniero,profesión
Francia,estado
Lycée Carnot,edificio escolar
Medalla Aeronáutica,condecoración
Universidad Complutense de Madrid,placa conmemorativa
alcalde de Lima,cargo público
Chiclayo,ciudad
ajedrecista,deportista
Italia,página de desambiguación de Wikimedia
empresario,ocupación
Universidad Nacional de Ingeniería,universidad
Distrito de Pimentel,distrito
actor,profesión
militar,profesión
Ministro de Relaciones Exteriores del Perú,ministro
Gran Cruz de la Orden El Sol del Perú,grado de una orden
científico,profesión
Beca Guggenheim,premio
Laureles Deportivos del Perú,distinción
Nuevo Chimbote,distrito
académico,rango académico
Alejandra Monteverde,ser humano
Jesús Mateo Calderón Barrueto,ser humano
Jesús Moliné Labarta,ser humano
Jimena Misayauri,ser humano
John Earls,ser humano
Pedro Barreto,ser humano
José Abelardo Quiñones Gonzales,ser humano
José Antonio Iturriaga,ser humano
José Bernardo Alzedo,ser humano
José Eduardo Velásquez Tarazona,ser humano
José Farías,ser humano
Hugo Garaycoa,ser humano
José María Ortega Trinidad,ser humano
José Paulino Ríos Reynoso,ser humano
Juan Antonio Ugarte Pérez,ser humano
Juan Jiménez Mayor,ser humano
Juan de Zavala y de la Puente,ser humano
Kevin Joseph Farrell,ser humano
Ernesto Palacio,ser humano
Katherine Winder,ser humano
badmintonista,deportista
Cajabamba,página de desambiguación de Wikimedia
sacerdote católico,presbítero
obispo auxiliar,cargo eclesiástico
La Puebla de Alfindén,municipio
Universidad de Navarra,universidad
Universidad de Piura,universidad
atleta,deportista
Sídney,ciudad
historiador,profesión
Australia,país
Universidad de Illinois en UrbanaChampaign,universidad
Colegio de la Inmaculada,página de desambiguación de Wikimedia
campeón nacional,campeón
compositor,ocupación
Himno Nacional del Perú,himno nacional
Caraz,montaña
Provincia de Oyón,provincia
Distrito de Imperial,distrito
Arzobispo de Arequipa,función episcopal
gobernador civil de la provincia de Barcelona,cargo público
Gran Cruz de la Orden de San Carlos,grado de una orden
Dublín,ciudad
filósofo,académico
Universidad Pontificia de Salamanca,universidad
obispo titular,cargo eclesiástico
cantante de ópera,profesión musical
Gustavo Gutiérrez,ser humano
Rodolfo Cerrón Palomino,ser humano
Abraham Valdelomar,ser humano
Kristian Kreković,ser humano
Akio Tamashiro,ser humano
Piermaria Oddone,ser humano
Martín Chambi,ser humano
Hilda Gadea,ser humano
Henry Ian Cusick,ser humano
Jefferson Farfán,ser humano
Alberto Tejada,ser humano
Honorio Delgado,ser humano
Juan Manuel Vargas,ser humano
Teófilo Cubillas,ser humano
Juan Velasco Alvarado,ser humano
Abimael Guzmán,ser humano
Édgar Valcárcel,ser humano
Arturo Yamasaki,ser humano
Manco Inca,ser humano
Andrés Avelino Cáceres,ser humano
profesor universitario,profesión académica
Universidad Católica de Lyon,universidad
Universidad de Notre Dame,universidad
Chongos Bajo,villa
Universidad Cornell,universidad
Ica,ciudad
periodista,profesión
pintor,profesión
karateca,profesión
físico de partículas,físico
Estados Unidos,país
Universidad de Princeton,universidad
Lawrence Berkeley National Laboratory,laboratorio
Distrito de Coasa,distrito
Retrato de campesinos en Cusco,fotografía
Cuba,país
Trujillo,estado
Conservatorio Real de Escocia,conservatorio
Sindicato de Actores,sindicato de trabajadores
árbitro de fútbol,profesión
psiquiatra,médico especialista
Orden de las Palmas Magisteriales,orden
Distrito de Castilla,distrito
Instituto del Hemisferio Occidental para la Cooperación en Seguridad,escuela
presidente del Perú,cargo público
Mollendo,ciudad
Universidad Nacional de San Cristóbal de Huamanga,universidad
Puno,ciudad
México,asentamiento
Cusco,grupo musical
monarca,soberano
emperador,monarca
Ayacucho,página de desambiguación de Wikimedia
Pedro Gárezon,ser humano
Jaime Duarte,ser humano
Jonathan Maicelo,ser humano
Óscar Ramírez Durand,ser humano
Iván Santillán,ser humano
Néstor Cerpa,ser humano
Hernán Rengifo,ser humano
Antonio Gálvez Ronceros,ser humano
Alberto Denegri,ser humano
Jaime Yoshiyama,ser humano
José de La Mar,ser humano
Isabel Sabogal,ser humano
Antonio Arenas,ser humano
Antonio Cornejo Polar,ser humano
Alfonso Yáñez Ramírez,ser humano
Antonio Máro,ser humano
Antonio de Vinatea,ser humano
Camarada Artemio,ser humano
Juan Diego Gonzales-Vigil,ser humano
Claudia Ortiz de Zevallos,ser humano
oficial naval,oficial
boxeador,deportista
Departamento de Arequipa,departmento del Perú
Talara,ciudad
Movimiento Revolucionario Túpac Amaru,organización
Chachapoyas,página de desambiguación de Wikimedia
El Carmen,comuna
Premio Casa de la Literatura Peruana,premio
Huancayo,ciudad
Escuela de Gobierno John F. Kennedy,escuela
presidente del Congreso de la República del Perú,cargo
Cuenca,municipio
Polonia,país
juez,propiedad de Wikidata relacionada con el derecho y la justicia
Catacaos,ciudad
líder,cargo
modelo,propiedad
participante en concursos de belleza,concurseante
Alan García,ser humano
Alberto Fujimori,ser humano
David Samanez Ocampo,ser humano
Ricardo Leoncio Elías Arias,ser humano
Manuel María Ponce Brousset,ser humano
Gustavo Jiménez,ser humano
Augusto Leguía,ser humano
Serapio Calderón,ser humano
Eduardo López de Romaña,ser humano
José Pardo y Barreda,ser humano
Guillermo Billinghurst,ser humano
Damaris,ser humano
Gastón Acurio,ser humano
Susana Baca,ser humano
Paolo Guerrero,ser humano
Ronald Gamarra,ser humano
Juan Diego Flórez,ser humano
Rufino Lecca,ser humano
Manuel Scorza,ser humano
Marco Arana,ser humano
Universidad Sorbona Nueva-París 3,universidad
Japón,película
Universidad de Wisconsin–Milwaukee,universidad
Distrito de Huancarama,distrito
Pisco,ciudad
Cerro de Pasco,ciudad
Escuela Militar de Chorrillos,institución académica
Lambayeque,página de desambiguación de Wikimedia
Orden del Águila Blanca,orden
Paucartambo,ciudad
Universidad Nacional de San Antonio Abad del Cusco,universidad
Stonyhurst College,escuela
Arica,ciudad
cantante,músico
Le Cordon Bleu,institución educativa
embajador de buena voluntad de Unicef,título honorífico
Distrito de Chorrillos,distrito
Universidad Nacional de Educación Enrique Guzmán y Valle,universidad
