entidad,tipo_entidad
Lisvel Elisa Eve,ser humano
Marianne Cruz,ser humano
Valentín Reynoso Hidalgo,ser humano
Jeoselyna Rodríguez,ser humano
Violeta Stephen,ser humano
Victor Emilio Masalles Pere,ser humano
Wendy Cruz,ser humano
Francisco García,ser humano
Mariasela Álvarez,ser humano
Brenda Castillo,ser humano
Ramfis Trujillo,ser humano
Aneury Rodríguez,ser humano
Miriam Cruz,ser humano
Annerys Vargas,ser humano
Melky Cabrera,ser humano
Yoel Tapia,ser humano
Jhonny Peralta,ser humano
Pedro Mir,ser humano
Carlos Santa,ser humano
Wilson Betemit,ser humano
Puerto Plata,provincia
voleibolista,deportista
República Dominicana,país
Salcedo,municipio
modelo,propiedad
comunicador,ocupación
María Trinidad Sánchez,ser humano
sacerdote católico,presbítero
Pontificia Universidad Gregoriana,universidad
obispo titular,cargo eclesiástico
Santo Domingo,municipio
San Pedro de Macorís,ciudad
cantante,músico
Barcelona,ciudad
economista,profesión
Santiago de los Caballeros,ciudad
ciclista,deportista
baloncestista,deportista
Universidad de Louisville,universidad
arquitecto,profesión
España,página de desambiguación de Wikimedia
productor de televisión,profesional de medios
San Cristóbal,página de desambiguación de Wikimedia
político,profesión
Colegio de Comando y Estado Mayor General del Ejército de los Estados Unidos,escuela de guerra
presidente de la República Dominicana,presidente
Higüey,ciudad
beisbolista,deportista
actor,profesión
Las Chicas del Can,grupo musical
Monte Cristi,municipio
atleta,deportista
escritor,profesión
Universidad Autónoma de Santo Domingo,universidad
Orden Heráldica de Cristóbal Colón,orden estatal
Municipio de Azua,municipio
Diego Milán,ser humano
Casandra Damirón,ser humano
Alfredo Griffin,ser humano
Al Horford,ser humano
Toño Rosario,ser humano
Julio Mateo,ser humano
Pedro Martínez,ser humano
Félix Sánchez,ser humano
Víctor Núñez Rodríguez,ser humano
Aramis Ramírez,ser humano
Claudio Vargas,ser humano
Erik Leonard Ekman,ser humano
Jhan Mariñez,ser humano
Víctor Estrella,ser humano
Santo Alcalá,ser humano
Tito Horford,ser humano
Agustín Montero,ser humano
Heinz Barmettler,ser humano
Alex Rodríguez,ser humano
